"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Ambler","Northwest Arctic","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Wind",NA,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Solar",NA,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Storage",NA,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Other",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",405.42,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Anvik","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"Brevig Mission","Bering Straits","PCE","Final","Oil",1176.332,"Rural Remote"
2011,"Brevig Mission","Bering Straits","PCE","Final","Gas",NA,"Rural Remote"
2011,"Brevig Mission","Bering Straits","PCE","Final","Coal",NA,"Rural Remote"
2011,"Brevig Mission","Bering Straits","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Brevig Mission","Bering Straits","PCE","Final","Wind",NA,"Rural Remote"
2011,"Brevig Mission","Bering Straits","PCE","Final","Solar",NA,"Rural Remote"
